Link	Meta_title
https://dl.acm.org/doi/abs/10.1145/2713609.2713611	Teemu; Sosnovsky
https://link.springer.com/chapter/10.1007/3-540-45327-X_102	Uwe; Myritz
https://link.springer.com/chapter/10.1007/978-3-642-22887-2_22	"OpenPsi: Realizing D\orner's ""Psi"" Cognitive Model in the OpenCog Integrative AGI Architecture"""
https://www.sciencedirect.com/science/article/pii/S0166361508000997?casa_token=VtwqndfcwqkAAAAA:Qjn7C75qA-d8e1nNnTmF45Mm_J4jBtXw--3rY69vCK_a3SHQaOqNpY1EQQk3pNx_MOggdsjzSCRf	Survey Paper: Development in the Application of ICT in Condition Monitoring and Maintenance
https://dl.acm.org/doi/abs/10.2307/248712	Technology for Automatic Generation of Application Programs: A Pragmatic View
https://link.springer.com/article/10.1007/s10472-018-9584-z	Jomi F.; Bordini
https://link.springer.com/article/10.1007/BF01408588	Natural Language Control of Interactive 3D Animation and Computer Games
https://dl.acm.org/doi/10.5555/1104088	Use of Discrete Choice Models with Recommender Systems
https://www.sciencedirect.com/science/article/pii/S0957417416302822	Multi-Hop Ridematching Optimization Problem
https://www.sciencedirect.com/science/article/pii/S0167739X1730064X	A Traceability Chain Algorithm for Artificial Neural Networks Using TS Fuzzy Cognitive Maps in Blockchain
https://www.sciencedirect.com/science/article/pii/S0167923616300902	Identimod
https://link.springer.com/chapter/10.1007/3-540-48317-9_7	The World Wide Web as a Place for Agents
https://dl.acm.org/doi/10.5555/3302579.3302582	Protocol and Role: Abstraction Mechanisms in Agent Oriented Programming Languages
https://dl.acm.org/doi/abs/10.5555/AAI28787747	Analysing Call Graphs for Software Architecture Quality Profiling / Analisando Gr\'aficos de Chamadas Para Cria\cc\~ao de Perfil de Qualidade de Arquitetura de Software
https://link.springer.com/chapter/10.1007/3-540-45809-3_9	Gaeten; Reignier
https://dl.acm.org/doi/abs/10.1145/3368089.3409688	Beware the Evolving â€˜Intelligentâ€™ Web Service! An Integration Architecture Tactic to Guard AI-First Components
https://dl.acm.org/doi/abs/10.1017/S1351324904003481	Software Architecture for Language Engineering
https://dl.acm.org/doi/abs/10.5555/1415881.1415944	Blending E-Learning and Knowledge Management for Optimizing Learning Paths
https://dl.acm.org/doi/10.1504/IJAOSE.2018.089595	Team PUCRS: A Decentralised Multi-Agent Solution for the Agents in the City Scenario
https://dl.acm.org/doi/abs/10.1016/j.knosys.2017.09.007	LIBIRWLS
https://dl.acm.org/doi/10.5555/1434925.1434926	Software Patterns in ITS Architectures
https://link.springer.com/article/10.1007/s10458-009-9101-1	Axel; Pfirrmann
https://dl.acm.org/doi/10.5555/1037446	A Methodology for Formally Modeling and Analyzing Software Architecture of Mobile Agent Systems
https://dl.acm.org/doi/abs/10.5555/3006433.3006591	Krzystof; Sandewall
https://dl.acm.org/doi/10.5555/3326943.3326967	Celestine; Parnell  Madhusudanan; Pozidis
https://dl.acm.org/doi/abs/10.1145/2064227.2064254	Khaled; Voitsekhovitch
https://dl.acm.org/doi/10.5555/59518	A Motion Detection Multiprocessor Computer System
https://dl.acm.org/doi/abs/10.1145/3447404	Intelligent Computing for Interactive System Design: Statistics, Digital Signal Processing, and Machine Learning in Practice
https://link.springer.com/chapter/10.1007/3-540-45598-1_8	Markets without Makers - A Framework for Decentralized Economic Coordination in Multiagent Systems
https://link.springer.com/chapter/10.1007/3-540-46016-0_37	Autonomous Agents for Ubiquitous Collaborative Environments
https://dl.acm.org/doi/abs/10.5555/907393	Multiprocess Software Architecture for Artificial Intelligence Problem Solving.
https://dl.acm.org/doi/10.1145/243327.243622	Ren\'{e}; Lugmayr
https://dl.acm.org/doi/10.5555/1557461	Handbook of Knowledge Representation
https://www.sciencedirect.com/science/article/pii/S0950584916301148	Documented Decision-Making Strategies and Decision Knowledge in Open Source Projects
https://www.scopus.com/record/display.uri?eid=2-s2.0-85024103135&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28Retrieving+and+Reusing+Qualitative+Cases%3A+An+Application+in+Humanoid-Robot+Soccer%29&sessionSearchId=9a1984e352517f5712f17a514351519b	Retrieving and Reusing Qualitative Cases: An&nbsp;Application in Humanoid-Robot Soccer
https://link.springer.com/article/10.1007/s10472-018-9586-x	Applying Robotic Frameworks in a Simulated Multi-Agent Contest
https://dl.acm.org/doi/10.5555/1376325.1376334	Systematic Viewpoint for Integrating Computational Resources by Using the Technique of PC Cluster
https://dl.acm.org/doi/abs/10.1016/j.aei.2009.08.001	Martin; Hild
https://link.springer.com/article/10.1007/s11704-019-9094-0	Shahzad; Prasath
https://ieeexplore.ieee.org/abstract/document/8648279	Christian; Garlan
https://www.scopus.com/record/display.uri?eid=2-s2.0-78650267745&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28%22Serious+Use+of+a+Serious+Game+for+Language+Learning%22%29&sessionSearchId=6bc4c8fb5d27ebe3a6650edae28cfc37	Serious Use of a Serious Game for Language Learning
https://link.springer.com/article/10.1007/s10515-020-00269-4	RecoLibry&nbsp;Suite: A Set of Intelligent Tools for the Development of Recommender Systems
https://link.springer.com/chapter/10.1007/978-3-030-58923-3_15	Does BERT Understand Code? â€“ An Exploratory Study on the Detection of&nbsp;Architectural Tactics in Code
https://dl.acm.org/doi/10.1177/0278364916688949	BWIBots
https://dl.acm.org/doi/abs/10.1145/3365438.3410941	Judith; Rumpe
https://link.springer.com/article/10.1007/s10846-016-0375-7	"Markus; Pfitzner  Daniel; N\""{u}chter"
https://www.sciencedirect.com/science/article/pii/S0921889013001048	Human-Aware Robot Navigation: A Survey
https://dl.acm.org/doi/10.5555/2887965.2887978	Intelligent Real-Time Monitoring
https://dl.acm.org/doi/abs/10.1145/3161166	"Markus; Kr\""{u}ger"
https://dl.acm.org/doi/10.5555/1048554	Configurable Image Data Shaping Algorithms and Architectures for Wireless Multimedia Communication
https://link.springer.com/article/10.1007/s11219-018-9404-z	Martin; Herold
https://dl.acm.org/doi/abs/10.1145/295665.295676	â€œGot COCA?â€ A New Perspective in Building Electronic Meeting Systems
https://www.sciencedirect.com/science/article/pii/S0925231216306853	PSDVec
https://dl.acm.org/doi/abs/10.2478/acss-2013-0007	Architecture and .NET Implementation of Multi- Robot Management System
https://dl.acm.org/doi/abs/10.5555/1984211.1984246	A Fuzzy Decision Support for the Selection of Information System Outsourcing Company
https://dl.acm.org/doi/10.5555/2386082.2386084	Alexander; Marsalek
https://www.sciencedirect.com/science/article/pii/S0164121216300760	Technical Debt and System Architecture
https://dl.acm.org/doi/abs/10.1162/pres.1994.3.4.265	Npsnet: A Network Software Architecture for Largescale Virtual Environments
https://dl.acm.org/doi/abs/10.5555/1234146.1234147	TOP-MODELERÂ©: Supporting Complex Strategic and Operational Decisionmaking
https://link.springer.com/chapter/10.1007/978-3-030-26118-4_2	Architecture of Proactive Localization Service for Cyber-Physical Systemâ€™s Users
https://link.springer.com/article/10.1023/A:1008220501261	GEAMAS: A Generic Architecture for Agent-Oriented Simulations OfComplex Processes
https://www.sciencedirect.com/science/article/pii/S0952197614002462	Coordinating Activities and Change
https://www.sciencedirect.com/science/article/pii/S095058491630355X	A Semi-Automated Framework for the Identification and Estimation of Architectural Technical Debt
https://dl.acm.org/doi/10.5555/1974548.1974556	An Agent-Based Architecture for Collaborative Virtual Environments for Training
https://link.springer.com/chapter/10.1007/11547686_15	T\ {o}nis; Marandi
https://link.springer.com/chapter/10.1007/3-540-45982-0_3	"J\""{o}rg P.; Bauer"
https://dl.acm.org/doi/10.5555/1562259.1562289	The Software Agent Paradigm as a Powerful Simulation Tools to Support Modelling of Complex Systems: The Cases of Consumer Markets and Telecom Architectures
https://dl.acm.org/doi/abs/10.4018/jsse.2010102004	Security Requirements Engineering for Evolving Software Systems: A Survey
https://dl.acm.org/doi/abs/10.5555/1415520.1415560	"Arif Sel\c{c}uk"""
https://link.springer.com/article/10.1007/s10579-020-09491-8	Writerâ€™s Uncertainty Identification in Scientific Biomedical Articles: A Tool for Automatic If-Clause Tagging
https://www.sciencedirect.com/science/article/pii/S0921889016304845	Whole-Body Multi-Contact Motion in Humans and Humanoids
https://link.springer.com/chapter/10.1007/11569596_68	"Mehmet Ugur"""
https://dl.acm.org/doi/10.4108/eai.24-8-2015.2261068	A Self-Learning Energy Management System for a Smart-Grid-Ready Residential Building
https://dl.acm.org/doi/10.4018/IJRQEH.2018070103	CytoNet, A Versatile Web-Based System for Accessing Advisory Cytology Services: Application of Artificial Intelligence
https://www.sciencedirect.com/science/article/pii/S0965997816306512	Abaqus2Matlab
https://dl.acm.org/doi/abs/10.1145/3175731.3175733	Rogardt; Bergenhem
https://dl.acm.org/doi/abs/10.5555/1562010.1562063	Patterns, Complexity and the Lingua Democratica; Introducing a Pattern-Oriented Approach to Complexity
https://link.springer.com/chapter/10.1007/3-540-45327-X_35	Richard; Ihlenburg
https://dl.acm.org/doi/abs/10.4018/japuc.2012070104	Enhancing Wikipedia Management by Evaluation Agent System
https://dl.acm.org/doi/10.1504/IJAISC.2016.081343	Contemporary Cognitive Architectures: A Comparative Study of Structures and Adaptability
https://link.springer.com/article/10.1023/B:CLUS.0000039496.64629.32	COBioSIFTER â€“ A CORBA-Based Distributed Multi-Agent Biological Information Management System
https://dl.acm.org/doi/abs/10.1145/3468264.3473120	ACÂ²: Towards Understanding Architectural Changes in Python Projects
https://dl.acm.org/doi/abs/10.1016/j.ins.2013.11.019	Preface: Special Section: Applications of Computational Intelligence and Machine Learning to Software Engineering
https://dl.acm.org/doi/abs/10.5555/2691065.2691066	An Agent-Based System for Distributed Fault Diagnosis
https://www.sciencedirect.com/science/article/pii/S0164121221001072	A Sustainable-Development Approach for Self-Adaptive Cyberâ€“Physical Systemâ€™s Life Cycle: A Systematic Mapping Study
https://www.sciencedirect.com/science/article/pii/S0166361511000303	Survey Paper: Re-Thinking Diagnosis for Future Automation Systems: An Analysis of Current Diagnostic Practices and Their Applicability in Emerging IT Based Production Paradigms
https://dl.acm.org/doi/abs/10.1145/2915919	Digital Montâ€™e Prama: Exploring Large Collections of Detailed 3D Models of Sculptures
https://dl.acm.org/doi/10.4018/IJSITA.2018040104	A Multi-Objective ACO to Solve the Daily Carpool Problem
https://dl.acm.org/doi/10.1504/IJIEI.2016.076700	Fuzzy Cognitive Map-Based Reasoning for Prediction of Multi-Stage Attacks in Risk Assessment
https://dl.acm.org/doi/abs/10.5555/1776926.1776950	"Nihat"""
https://link.springer.com/article/10.1007/s10846-017-0680-9	Stefan,  Josef; Riedel
https://link.springer.com/article/10.1007/s10796-020-10037-0	Cem \c{C}a\u{g}r\i{}; Y\i{}ld\i{}r\i{}m
https://dl.acm.org/doi/abs/10.4018/jmcmc.2012100103	Location Leveling
https://dl.acm.org/doi/abs/10.14232/actacyb.21.2.2013.3	Erkki; Poranen
https://dl.acm.org/doi/book/10.5555/AAI28992768	Recommender Systems for Grocery Retail - A Machine Learning Approach
https://link.springer.com/article/10.1007/s10846-021-01333-1	Deep Reinforcement Learning for a Humanoid Robot Soccer Player
https://dl.acm.org/doi/abs/10.5555/2815753.2815757	Meta-Monitoring Using an Adaptive Agent-Based System to Support Dependent People in Place
https://www.sciencedirect.com/science/article/pii/S089360801200041X?casa_token=2wWJhD2eQ9EAAAAA:kPFsp1xiB5Wv-3wxplpMt2uOlDAzf476t073ZR0iurH6EmdBX91My67W_EzqqpednuptNbbGHFJd	2012 Special Issue: The Grounding of Higher Order Concepts in Action and Language: A Cognitive Robotics Model
https://dl.acm.org/doi/abs/10.1162/pres.1995.4.4.417	Virtual Environments Research in the Air Force Institute of Technology Virtual Environments, 3-d Medical Imaging, and Computer Graphics Laboratory
https://dl.acm.org/doi/abs/10.5555/1643534	Sensor Fusion Based Plastic Bottles Classification System: Machine Vision, Signal Processing and Artificial Intelligence Techniques
https://link.springer.com/chapter/10.1007/11871842_4	Winning the DARPA Grand Challenge
https://dl.acm.org/doi/abs/10.5555/963600.963672	Modelling a Flexible Network Security Systems Using Multi-Agents Systems: Security Assessment Considerations
https://link.springer.com/article/10.1007/s10707-011-0132-9	Antonio; Linden
https://dl.acm.org/doi/10.1145/581339.581431	"Tarja; Z\""{u}ndorf"
https://www.sciencedirect.com/science/article/pii/S0010482516300750	PSGMiner
https://link.springer.com/chapter/10.1007/978-3-642-39742-4_23	"Kari"""
https://www.scopus.com/record/display.uri?eid=2-s2.0-85016556646&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28proceedings+AND+of+AND+the+AND+18th+AND+acm+AND+international+AND+conference+AND+on+AND+multimodal+AND+interaction%29&sessionSearchId=6bc4c8fb5d27ebe3a6650edae28cfc37	ICMI '16: Proceedings of the 18th ACM International Conference on Multimodal Interaction
https://dl.acm.org/doi/10.1504/IJKESDP.2017.089524	A Bayesian Approach and Probabilistic Latent Variable Clustering Based Web Services Selection
https://dl.acm.org/doi/10.5555/3338290.3338403	Faces 2D-Recognition and Identification Using the HOG Descriptors Method
https://www.sciencedirect.com/science/article/pii/S1474034610000406	"Alexander; R\""{o}sel"
https://dl.acm.org/doi/abs/10.1145/2809730.2809749	Tobias; Bengler
https://www.sciencedirect.com/science/article/pii/S1574119209000522	Fast Track Article: Ambient Intelligence Platform Using Multi-Agent System and Mobile Ubiquitous Hardware
https://dl.acm.org/doi/abs/10.1145/1082473.1082806	Decentralized Control of E'GV Transportation Systems
https://dl.acm.org/doi/10.5555/2490915.2490916	Michael; Jovanovic,  Bratislav; Potkonjak
https://dl.acm.org/doi/10.5555/2835865.2835945	Q: A DAI-Based Multimodal, Agent-Based, Information Retrieval System: A Jim Implementation
https://www.sciencedirect.com/science/article/pii/S0167923615000329	Automated Negotiation for E-Commerce Decision Making
https://www.sciencedirect.com/science/article/pii/S0097849311001476	Technical Section: Realistic Modeling of Spectator Behavior for Soccer Videogames with CUDA
https://dl.acm.org/doi/abs/10.1145/3437479.3437485	The 8th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering
https://arxiv.org/abs/1212.2509	Exploiting Locality in Searching the Web
https://dl.acm.org/doi/proceedings/10.1145/1075405	WOSS '04: Proceedings of the 1st ACM SIGSOFT Workshop on Self-Managed Systems
https://dl.acm.org/doi/10.1017/S0269888910000445	Ker Volume 26 Issue 1 Cover and Back Matter
https://link.springer.com/article/10.1007/s11219-005-4251-0	Ian; Jeffery
https://www.scopus.com/record/display.uri?eid=2-s2.0-12344305499&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28Proceedings+of+the+International+Conference+on+Software+Engineering+Research+and+Practice%2C+SERP%2704+-+Volume+I%29&sessionSearchId=6bc4c8fb5d27ebe3a6650edae28cfc37	Proceedings of the International Conference on Software Engineering Research and Practice, SERP'04 - Volume I
https://www.scopus.com/record/display.uri?eid=2-s2.0-85104126323&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28An+architecture+for+distributed+data+analysis+problem+solving+in+neurophysiology%29	An architecture for distributed data analysis problem solving in neurophysiology [ÐÐ Ð¥Ð˜Ð¢Ð•ÐšÐ¢Ð£Ð Ð Ð ÐÐ¡ÐŸÐ Ð•Ð”Ð•Ð›Ð•ÐÐÐžÐ“Ðž Ð Ð•Ð¨Ð•ÐÐ˜Ð¯ Ð—ÐÐ”ÐÐ§ ÐÐÐÐ›Ð˜Ð—Ð Ð”ÐÐÐÐ«Ð¥ Ð’ ÐžÐ‘Ð›ÐÐ¡Ð¢Ð˜ ÐÐ•Ð™Ð ÐžÐ¤Ð˜Ð—Ð˜ÐžÐ›ÐžÐ“Ð˜Ð˜]
https://dl.acm.org/doi/abs/10.1017/S1351324999002132	The Verbmobil prototype system â€” a software engineering perspective
https://www.scopus.com/record/display.uri?eid=2-s2.0-85026994935&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28Towards+an+open%2C+distributed+software+architecture+for+uxs+operations%29	Towards an open, distributed software architecture for uxs operations: â€œIt's difficult to work in groups when you're omnipotent,â€ â€“ q star trek: The next generation:: Deja q (1990)
https://www.scopus.com/record/display.uri?eid=2-s2.0-85128529131&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28the+AND+redesigned+AND+serpens%2C+AND+a+AND+low-cost%2C+AND+highly+AND+compliant+AND+snake+AND+robot%29&sessionSearchId=032a3dd29b1f10ea20c3f72eaf9de389	The Redesigned Serpens, a Low-Cost, Highly Compliant Snake Robotâ€
https://www.scopus.com/record/display.uri?eid=2-s2.0-85061982167&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28Corrigendum%3A+The+walk-man+robot+software%29	Corrigendum: The walk-man robot software architecture [Front. Robot. AI, 3, (2016), (25)] doi: 10.3389/frobt.2016.00025
https://www.scopus.com/record/display.uri?eid=2-s2.0-85097670269&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%288th+IFIP+WG+13.2+International+Conference+on+Human-Centered+Software+Engineering%2C+HCSE+2020%29	8th IFIP WG 13.2 International Conference on Human-Centered Software Engineering, HCSE 2020
https://www.scopus.com/record/display.uri?eid=2-s2.0-84869762755&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%2812th+Symposium+on+Programming+Languages+and+Software+Tools%2C+SPLST%2711+Proceedings%29	12th Symposium on Programming Languages and Software Tools, SPLST'11 Proceedings
https://ieeexplore.ieee.org/abstract/document/8629446	"Study program Robotics and autonomous systems"" at the University of LÃ¼beck"""
https://www.scopus.com/record/display.uri?eid=2-s2.0-85089303080&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28Analysis+of+the+applicability+of+existing+methods+and+technologies+of+project-oriented+management+for+government+agencies+in+the+Republic+of+Kazakhstan%29	Analysis of the applicability of existing methods and technologies of project-oriented management for government agencies in the Republic of Kazakhstan [Å iuolaikiniÅ³ Ä¯ projektÄ… orientuotÅ³ valdymo metodÅ³ ir technologijÅ³ pritaikomumo Kazachstano Respublikos valdymo agentÅ«roms analizÄ—]
https://www.scopus.com/record/display.uri?eid=2-s2.0-85115182664&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28%2215th+European+Conference+on+Software+Architecture%2C+ECSA+2021%22%29&sessionSearchId=8180ece6688619e9e4898371361bec65&relpos=1	15th European Conference on Software Architecture, ECSA 2021
https://www.scopus.com/record/display.uri?eid=2-s2.0-85048126047&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28please+AND+vote+AND+now%21+AND+-+AND+a+AND+field+AND+report+AND+on+AND+the+AND+audience+AND+response+AND+system+AND+pingo%29&sessionSearchId=8180ece6688619e9e4898371361bec65	Please vote now! - A field report on the audience response system PINGO [Bitte stimmen Sie jetzt ab! - Ein Erfahrungsbericht Ã¼ber das Audience Response System PINGO]
https://link.springer.com/chapter/10.1007/978-3-030-86044-8_6	FLRA: A Reference Architecture forÂ Federated Learning Systems
https://www.scopus.com/record/display.uri?eid=2-s2.0-85112101049&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28%22A+Systematic+Review+on+Software+Engineering+for+Autonomous+Robot%22%29&sessionSearchId=8180ece6688619e9e4898371361bec65	A Systematic Review on Software Engineering for Autonomous Robot [è‡ªä¸»æœºå™¨äººè½¯ä»¶å·¥ç¨‹çš„ç ”ç©¶ç»¼è¿°]
https://link.springer.com/chapter/10.1007/978-3-030-85867-4_4	AIRPA: An Architecture to Support theÂ Execution and Maintenance ofÂ AI-Powered RPA Robots
https://www.scopus.com/record/display.uri?eid=2-s2.0-85084705538&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28%22Methodology+for+temporary+analysis+of+logistic+systems+based+on+distance+data+and+process+classification+methods%22%29	Methodology for temporary analysis of logistic systems based on distance data and process classification methods [Methodik zur temporÃ¤ren analyse logistischer systeme auf basis von entfernungsdaten und methoden der pro-zessklassifizierung]
https://www.scopus.com/record/display.uri?eid=2-s2.0-0025460296&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28Advances+in+computer+systems.+Buildings+and+artificial+intelligence+CSTB%29&sessionSearchId=8c4cf820aa3b5835e1d8f6dfb24919e5	Advances in computer systems. Buildings and artificial intelligence CSTB activities [Systemes informatiques avances. Intelligence artificielle et batiment. Les activities du CSTB]
https://www.scopus.com/record/display.uri?eid=2-s2.0-85117178836&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28From+perception+to+action+in+the+sony+four-legged+robot+league%29&sessionSearchId=98f153e9a203457ecd7b1b8783f9d42a&relpos=1	From perception to action in the sony four-legged robot league [Von der wahrnehmung zur aktion in der sony four-legged robot league]
https://link.springer.com/chapter/10.1007/978-3-031-08473-7_17	Preprocessing Requirements Documents forÂ Automatic UML Modelling
https://www.scopus.com/record/display.uri?eid=2-s2.0-84879830532&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28architectural+AND+requirements+AND+of+AND+ambient+AND+intelligence%29&sessionSearchId=10096fcb537d837c578e5d63a01b9fdb	Architectural Requirements of Ambient Intelligence [Architektonische anforderungen der ambient intelligence]
https://www.scopus.com/record/display.uri?eid=2-s2.0-84964558145&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE%28%22Software+architecture+of+a+mobile+robot%22%29&sessionSearchId=10096fcb537d837c578e5d63a01b9fdb	Software architecture of a mobile robot
https://arxiv.org/abs/1809.05956	A Distributed Learning Architecture for Scientific Imaging Problems
https://ieeexplore.ieee.org/abstract/document/7484113	How autonomous driving influences the vehicle's architecture
https://www.scopus.com/record/display.uri?eid=2-s2.0-85128529131&origin=resultslist&sort=plf-f&src=s&sot=b&sdt=b&s=TITLE-ABS-KEY%28The+Redesigned+Serpens%2C+a+Low-Cost%2C+Highly+Compliant+Snake+Robot%29	The Redesigned Serpens, a Low-Cost, Highly Compliant Snake Robot
