project	key	title	abstract	doi	decision	mode	exclusion_criteria	reviewer_count
	ACM473_F3	Improving the efficacy of cognitive training for digital mental health interventions through avatar customization: Crowdsourced quasi-experimental study,	Background: The success of internet-based mental health interventions in practice—that is, in the wild—depends on the uptake and retention of the application and the user’s focused attention in the moment of use. Incorporating game-based motivational design into digital interventions delivered in the wild has been shown to increase uptake and retention in internet-based training; however, there are outstanding questions about the potential of game-based motivational strategies to increase engagement with a task in the moment of use and the effect on intervention efficacy. Objective: Designers of internet-based interventions need to know whether game-based motivational design strategies can increase in-the-moment engagement and thus improve digital interventions. The aim of this study was to investigate the effects of 1 motivational design strategy (avatar customization) in an example mental health intervention (computerized cognitive training for attention bias modification). Methods: We assigned 317 participants to either a customized avatar or an assigned avatar condition. After measuring state anxiety (State-Trait Anxiety Inventory), we randomly assigned half of the participants in each condition to either an attentional retraining condition (Attention Bias Modification Training) or a control condition. After training, participants were exposed to a negative mood induction using images with strong negative valance (International Affective Picture System), after which we measured state anxiety again. Results: Avatar customization decreased posttraining state anxiety when controlling for baseline state anxiety for those in the attentional retraining condition; however, those who did not train experienced decreased resilience to the negative mood induction (F1,252=6.86, P=.009, ηp2=.027). This interaction effect suggests that customization increased task engagement with the intervention in the moment of use. Avatar customization also increased avatar identification (F5,252=12.46, P<.001, R2=.23), regardless of condition (F1,252=.79, P=.38). Avatar identification reduced anxiety after the negative mood induction for participants who underwent training but increased poststimulus anxiety for participants who did not undergo training, further suggesting that customization increases engagement in the task (F1,252=6.19, P=.01). The beneficial effect of avatar customization on training was driven by participants who were low in their basic satisfaction of rela…,” vol. 21, no. 1, p. e10133, 2019, doi: 10.2196/10133.		In	new_screen		
	ACM473_F4	Effects of a personalized fitness recommender system using gamification and continuous player modeling: System design and long-term validation study,	Background: Gamification and persuasive games are effective tools to motivate behavior change, particularly to promote daily physical activities. On the one hand, studies have suggested that a one-size-fits-all approach does not work well for persuasive game design. On the other hand, player modeling and recommender systems are increasingly used for personalizing content. However, there are few existing studies on how to build comprehensive player models for personalizing gamified systems, recommending daily physical activities, or the long-term effectiveness of such gamified exercise-promoting systems. Objective: This paper aims to introduce a gamified, 24/7 fitness assistant system that provides personalized recommendations and generates gamified content targeted at individual users to bridge the aforementioned gaps. This research aims to investigate how to design gamified physical activity interventions to achieve long-term engagement. Methods: We proposed a comprehensive model for gamified fitness recommender systems that uses detailed and dynamic player modeling and wearable-based tracking to provide personalized game features and activity recommendations. Data were collected from 40 participants (23 men and 17 women) who participated in a long-term investigation on the effectiveness of our recommender system that gradually establishes and updates an individual player model (for each unique user) over a period of 60 days. Results: Our results showed the feasibility and effectiveness of the proposed system, particularly for generating personalized exercise recommendations using player modeling. There was a statistically significant difference among the 3 groups (full, personalized, and gamified) for overall motivation (F3,36=22.49; P<.001), satisfaction (F3,36=22.12; P<.001), and preference (F3,36=15.0; P<.001), suggesting that both gamification and personalization have positive effects on the levels of motivation, satisfaction, and preference. Furthermore, qualitative results revealed that a customized storyline was the most requested feature, followed by a multiplayer mode, more quality recommendations, a feature for setting and tracking fitness goals, and more location-based features. Conclusions: On the basis of these results and drawing from the gamer modeling literature, we conclude that personalizing recommendations using player modeling and gamification can improve participants’ engagement and motivation toward fitness activities over time.,” vol. 8, no. 4, 2020, doi: 10.2196/19968.		In	new_screen		
	ACM473_F5	Nourish Your Tree! Developing a Persuasive Exergame for Promoting Physical Activity among Adults,	In this paper, we present the design and development of a persuasive game for promoting physical activity and discouraging sedentariness. The game is based on the tree metaphor which links a player’s physical activity level (operationalized using step count) to the health of a tree. Thus, as the player becomes physically active (such as walking or running), the tree’s health improves. The tree withers if player’s physical activity level reduces. The game employs various persuasive strategies based on the Persuasive Systems Design (PSD) framework to boost players’ motivation and provide an enjoyable experience. We believe that our game will yield improved physical activity levels among adults by encouraging them to regularly engage in light-intensity activity (e.g., slow-walking), moderate-intensity activity (e.g., brisk-walking), and vigorous-intensity activity (e.g., running). By being physically active, players protect themselves from chronic health conditions and improve their emotional and mental well-being.,” 2020. doi: 10.1109/SeGAH49190.2020.9201637.		In	new_screen		
	ACM473_F9	Motivation-based approach for tailoring persuasive mental health applications,	The growing number of people with mental health issues and the worldwide shortage of professionals emphasise the need for tailored persuasive interventions. This paper explores the relationships between the types of motivation individuals experience and their preferences for various features that are widely used in persuasive apps for mental and emotional well-being. First, we reviewed 103 mental health apps from app stores and identified various persuasive features and then conducted focus-group studies of 32 participants. Finally, we implemented the common features in persuasive mental health app prototypes and conducted a large-scale study of 561 users to evaluate their perceived effectiveness. The results reveal that people’s motivation types significantly influence the perceived persuasiveness of different features. People high in intrinsic motivation are more motivated by apps that offer relaxation exercises while providing opportunities to track various mental health-related information. We offer design guidelines for tailoring persuasive mental health apps based on motivation types.,” 2022, doi: 10.1080/0144929X.2022.2031296.		Ex	new_screen		
	ACM579_F1	Back on bike: The BoB mobile cycling app for secondary prevention in cardiac patients,	Persons that suffered from a cardiac disease are often recommended to integrate a sufficient level of physical exercise in their daily life. Initially, cardiac rehabilitation takes place in a closely monitored setting in a hospital or a rehabilitation center. Sustaining the effort once the patient has left the ambulatory, supervised environment is a challenge, and drop-out rates are high. Emerging approaches such as telemonitoring and telerehabilitation have been proven to show the potential to support the cardiac patient in adhering to the advised physical exercise. However, most telerehabilitation solutions only support a limited range of physical exercise, such as step-counting during walking. We propose BoB (Back on Bike), a mobile application that guides cardiac patients while cycling. Design choices are explained according to three pillars: ease of use, reduce fear, and direct and indirect motivation. In this paper, we report the results from a field study with cardiac patients.,” in Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services, MobileHCI 2016, 2016, pp. 135–146. doi: 10.1145/2935334.2935377.		In	new_screen		
	ACM579_F2	Android based health care system for aged diabetic patients,	Diabetes mellitus is an illness that requires continuing medical care and self-management system for the patients to prevent acute complications to reduce the risk of long-term complications. It is a complex disease in which the care for health is supposed to be a satisfactory daily prescribed diet and practicing regular habits, in addition to proper medication and treatment. Good diet and exercise habits, as well as continuous monitoring of blood pressure and sugar are all important for a diabetic patient in order to maintain his proper health. Although there are too many health care solutions exist in the market today, but none of them focus on providing a personalized health care management system for the patient. This proposed mobile application will take an effort to ensure a healthy balanced diet for the patients with the synchronization of balancing food energy. The system provides more facilities by giving the chance to set the medicine alarms, monitoring blood pressure and sugar levels in a chart. The system also provides more safety by making emergency calls and messages in real-time by utilizing GPS reporting technology considering the crucial moment of the patient. Two surveys are included in order to show the necessity of the implementation.,” 2017. doi: 10.1109/CEEICT.2016.7873054.		In	new_screen		
	ACM579_F3	iCare: A mobile health monitoring system for the elderly,	This paper describes a mobile health monitoring system called iCare for the elderly. We use wireless body sensors and smart phones to monitor the wellbeing of the elderly. It can offer remote monitoring for the elderly anytime anywhere and provide tailored services for each person based on their personal health condition. When detecting an emergency, the smart phone will automatically alert pre-assigned people who could be the old people’s family and friends, and call the ambulance of the emergency centre. It also acts as the personal health information system and the medical guidance which offers one communication platform and the medical knowledge database so that the family and friends of the served people can cooperate with doctors to take care of him/her. The system also features some unique functions that cater to the living demands of the elderly, including regular reminder, quick alarm, medical guidance, etc. iCare is not only a real-time health monitoring system for the elderly, but also a living assistant which can make their lives more convenient and comfortable. © 2010 IEEE.,” in Proceedings - 2010 IEEE/ACM International Conference on Green Computing and Communications, GreenCom 2010, 2010 IEEE/ACM International Conference on Cyber, Physical and Social Computing, CPSCom 2010, 2010, pp. 699–705. doi: 10.1109/GreenCom-CPSCom.2010.84.		Ex	new_screen		
	ACM636_F1	People Like Me: Designing for Reflection on Aggregate Cohort Data in Personal Informatics Systems,	We investigate how people reflect on three types of personal data when presented alongside a large set of aggregated data of multiple cohorts. We conducted personal and cohort data reviews using a subset of participants from a mobile-sensing study that collected physical activity, digital social activity, and perceived stress, from 47 students over three weeks. Participants preferred to use characteristics of the data (e.g., maxima, minima) and graphical presentation (e.g., appearance of trends) along with demographic identities (e.g., age, gender) when relating to cohorts. We further characterize how participants incorporated cohort data into their self-reflection process, and conclude with discussion of the implications for personal informatics systems that leverage the data of ‘people like me’ to enable meaningful reflection.,” vol. 2, no. 3, pp. 1–21, 2018.		Ex	new_screen		
	ACM69_F1	I-care-an interaction system for the individual activation of people with dementia,	I-CARE is a hand-held activation system that allows professional and informal caregivers to cognitively and socially activate people with dementia in joint activation sessions without special training or expertise. I-CARE consists of an easy-to-use tablet application that presents activation content and a server-based backend system that securely manages the contents and events of activation sessions. It tracks various sources of explicit and implicit feedback from user interactions and different sensors to estimate which content is successful in activating individual users. Over the course of use, I-CARE’s recommendation system learns about the individual needs and resources of its users and automatically personalizes the activation content. In addition, information about past sessions can be retrieved such that activations seamlessly build on previous sessions while eligible stakeholders are informed about the current state of care and daily form of their protegees. In addition, caregivers can connect with supervisors and professionals through the I-CARE remote calling feature, to get activation sessions tracked in real time via audio and video support. In this way, I-CARE provides technical support for a decentralized and spontaneous formation of ad hoc activation groups and fosters tight engagement of the social network and caring community. By these means, I-CARE promotes new care infrastructures in the community and the neighborhood as well as relieves professional and informal caregivers.,” vol. 6, no. 2, 2021, doi: 10.3390/geriatrics6020051.		In	new_screen		
	ACM69_F2	Evaluating an app to promote a beter visit through shared activities for people living with dementia and their families,	This project aims to foster shared positive experiences between people living with moderate to advanced dementia and their visitors as they may struggle to fnd topics to talk about and engaging things to do together. To promote a better visit, we trialed a previously developed app that includes eight games with twenty-one residents and their partners or carers across four care centers for three months each. Through interviews and data logging, we found that residents preferred games that were closer to their interests and skills, and that gameplay and cooperation fostered meaningful and shared interactions between residents and their visitors. The contribution of this work is twofold: (1) insights and opportunities into dyadic interactions when using an app and into promoting positive social experiences through technology design, and (2) refections on the challenges of evaluating the benefts of technology for people living with dementia.,” in Conference on Human Factors in Computing Systems - Proceedings, 2021, pp. 1–13. doi: 10.1145/3411764.3445764.		Ex	new_screen		
	ACM78_F1	On the Adaptability and Applicability of Multi-touch User Interfaces Addressing Behavioral Interventions for Children with Autism,	Principles of human-computer interaction (HCI) are imperative when it comes to efficient user interface design. This becomes even more significant when the interface is for users with special needs and especially when there is a treatment methodology incorporated in a piece of software. This study investigates user interfaces that are specifically made for children with autism-spectrum disorders. We conducted a survey to evaluate the adaptability and applicability of various interfaces. For this, we selected four of the behavioral interventions for autism namely discrete trial training (DTT), cognitive-behavioral therapy (CBT), empathy enhancement and verbal behavior approach (VBA). User interfaces (UIs) of 16 software applications were assessed for the said features. Results of this assessment revealed that these Applications were adaptable to two behavioral interventions, on the average. Moreover, these Applications were simultaneously applicable for treatment of three levels of autism; namely high functioning, low functioning, and autistic adults. These interfaces were also applicable to the children with no autism (typically developing) who acted as a controlled group.,” vol. 37, no. 2, pp. 180–195, 2020, doi: 10.1080/02564602.2019.1590164.		Ex	new_screen		
	ACM85_B2	CoFaçade: A customizable assistive approach for elders and their helpers,	We present CoFaçade, a novel approach to helping elders reach their goals with IT products by working collaboratively with helpers. In this approach, the elder uses an interface with a small number of triggers, where each trigger is a single button (or card) that can execute a procedure. The helper uses a customization interface to link triggers to procedures that accomplish frequently-recurring high-level goals with IT products. Customization can be done either locally or remotely. We conducted an experiment to compare the CoFaçade approach with a baseline approach where helpers taught elders to perform IT tasks. Our results showed that CoFaçade can reduce helpers’ time and effort, reduce elders’ frustration, and improve elders’ success rate in completing IT tasks.,” in Conference on Human Factors in Computing Systems - Proceedings, 2015, vol. 2015-April, pp. 1583–1592. doi: 10.1145/2702123.2702588.		In	new_screen		
	ACM85_F1	Emerald—exercise monitoring emotional assistant,	The increase in the elderly population in today’s society entails the need for new policies to maintain an adequate level of care without excessively increasing social spending. One of the possible options is to promote home care for the elderly. In this sense, this paper introduces a personal assistant designed to help elderly people in their activities of daily living. This system, called EMERALD, is comprised of a sensing platform and different mechanisms for emotion detection and decision-making that combined produces a cognitive assistant that engages users in Active Aging. The contribution of the paper is twofold—on the one hand, the integration of low-cost sensors that among other characteristics allows for detecting the emotional state of the user at an affordable cost; on the other hand, an automatic activity suggestion module that engages the users, mainly oriented to the elderly, in a healthy lifestyle. Moreover, by continuously correcting the system using the on-line monitoring carried out through the sensors integrated in the system, the system is personalized, and, in broad terms, emotionally intelligent. A functional prototype is being currently tested in a daycare centre in the northern area of Portugal where preliminary tests show positive results.,” vol. 19, no. 8, p. 1953, 2019, doi: 10.3390/s19081953.		In	new_screen		
	ACM85_F3	ME3CA: A cognitive assistant for physical exercises that monitors emotions and the environment,	Recent studies show that the elderly population has increased considerably in European society in recent years. This fact has led the European Union and many countries to propose new policies for caring services directed to this group. The current trend is to promote the care of the elderly in their own homes, thus avoiding inverting resources on residences. With this in mind, there are now new solutions in this direction, which try to make use of the continuous advances in computer science. This paper tries to advance in this area by proposing the use of a personal assistant to help older people at home while carrying out their daily activities. The proposed personal assistant is called ME3CA, and can be described as a cognitive assistant that offers users a personalised exercise plan for their rehabilitation. The system consists of a sensorisation platform along with decision-making algorithms paired with emotion detection models. ME3CA detects the users’ emotions, which are used in the decision-making process allowing for more precise suggestions and an accurate (and unbiased) knowledge about the users’ opinion towards each exercise.,” vol. 20, no. 3, 2020, doi: 10.3390/s20030852.		Ex	new_screen		
	IEEE186_F1	User centered design of an interactive mobile assistance and supervision system for rehabilitation purposes,	This paper describes the user centered development of a mobile assistance and supervision system for cardiac disease patients. Smartphones are used to collect data from wireless sensors like ECG, blood pressure or oxygen saturation sensors while a patient is exercising outdoors. All data from the wireless sensors as well as GPS information is sent to a supervision center where doctors and sport therapists analyze the data in a collaborative and interactive setting. We here present the User Centered Design process, the technical realization as well as the interaction modalities of our system. © Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2013.,” in Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST, 2013, vol. 61, pp. 41–50. doi: 10.1007/978-3-642-37893-5_5.		Ex	new_screen		
	IEEE186_F2	Designing a telemedical system for cardiac exercise rehabilitation,	Since cardiac diseases cause the major amount of money spent in medical care, IT solutions that support patients in the rehabilitation phase are desirable. Such systems can motivate and guide patients in order to exercise frequently and hence to avoid another cardiac event. Such telemedical applications have posses a very special and heterogeneous user group. Therefore User Centered Design is crucial. We present a system setup and user interface design that was prototypically build for this kind of patients. © 2011 Springer-Verlag Berlin Heidelberg.,” Communications in Computer and Information Science, vol. 127 CCIS. pp. 111–122, 2011. doi: 10.1007/978-3-642-18472-7_9.		Ex	new_screen		
	IEEE186_F3	User centered design of patient user interfaces for remote training supervision: A user study,	Remote training supervision is a new approach that combines medical and IT knowledge into one system. Such a system enables patients with cardiac diseases to continue a supervised training - on an ergometer bicycle and even when exercising outdoors - after rehabilitation phase in a clinic. The goal of the study presented in this paper is to develop user interfaces for an ergometer. These interfaces have to allow an intuitive interaction and to take the different capabilities, needs and preferences of potential users - often elderly people having visual impairments and different IT knowledge - into account. In order to create minimal attention user interfaces it is mandatory to apply user centered techniques, which involve potential users into the design phase of the development process. The evaluation of the study served as basis for the next iteration of the user centered design process and raised new functional requirements to the underlying system from the user’s perspective.,” in HEALTHINF 2010 - 3rd International Conference on Health Informatics, Proceedings, 2010, pp. 106–113. doi: 10.5220/0002747701060113.		In	new_screen		
	IEEE227_B1	A Kinect based adaptive exergame,	This paper describes an application that aims to stimulate physical activity adapted to elderly people. The application is implemented as a game with two avatars: user and trainer. The user avatar must reproduce the movements of the trainer’s avatar. The similarity between two movements is computed using Dynamic Time Warping. Also the speed of the trainer is adapted to the user’s movements using cross-correlation. Thus the game can stimulate for a long time physically activity. The preliminary evaluations with ten people have shown that the system can be an effective tool that engages users into physical activity.,” in Proceedings - 2016 IEEE 12th International Conference on Intelligent Computer Communication and Processing, ICCP 2016, 2016, pp. 117–124. doi: 10.1109/ICCP.2016.7737132.		In	new_screen		
	IEEE227_B2	Designing for dynamic diversity - Making accessible interfaces for older people,	In this paper, we describe why designers need to look beyond the twin aims of designing for the ‘typical’ user and designing ‘prostheses.’ Making accessible interfaces for older people is a unique but many faceted challenge. Effective applications and interface design needs to address the dynamic diversity of the human species. We introduce a new design paradigm, Design for Dynamic Diversity, and a methodology to assist its achievement, User Sensitive Inclusive Design.,” in Proceedings of the 2001 EC/NSF Workshop on Universal Accessibility of Ubiquitous Computing: Providing for the Elderly, WUAUC 2001, 2001, pp. 90–92. doi: 10.1145/564526.564550.		Ex	new_screen		
	IEEE291_B1	Adaptive strategy for multi-user robotic rehabilitation games,	In this paper, we discuss a strategy for the adaptation of the difficulty level in games intended to include motor planning during robotic rehabilitation. We consider concurrently the motivation of the user and his/her performance in a Pong game. User motivation is classified in three levels (not motivated, well motivated and overloaded). User performance is measured as a combination of knowledge of results-achieved goals and score points in the game and knowledge of performance joint displacement, speed, aiming, user work, etc. Initial results of a pilot test with unimpaired healthy young volunteers are also presented showing a tendency for individualization of the parameter values. © 2011 IEEE.,” in Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS, 2011, pp. 1395–1398. doi: 10.1109/IEMBS.2011.6090328.		In	new_screen		
